"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw"
0.505770865842382,0.0370639800881815,NA,NA,NA,0.0258329970299567,-0.000396284397284883,-0.00393595386836769,8,-26601.1082866669,53218.2190707323,1954.72998615215,0,1
1.15009632933298,0.0370195103283289,NA,0.0155593351475351,NA,NA,NA,-0.00413576202041054,7,-26603.888149336,53221.7782410594,1958.28915647925,0,1
1.14349850459464,0.0370206416073467,NA,0.0161375921042882,-9.1118289708496e-05,NA,NA,-0.00413273039142322,8,-26603.8441668404,53223.6908310793,1960.20174649917,0,1
-6.78988350683009,0.0289226958135723,NA,NA,NA,0.0288371571943518,-0.000493927284888133,NA,7,-26690.7365371228,53395.4750166331,2131.98593205296,0,1
-6.67598107425692,0.0288972307058528,NA,NA,NA,0.0138114076188371,NA,NA,6,-26691.9363604341,53395.8741776336,2132.38509305345,0,1
-6.49091540590613,0.0284642930980566,NA,0.0152634152382616,NA,NA,NA,NA,6,-26702.3887901847,53416.7790371347,2153.28995255462,0,1
-6.49358550836218,0.0284847647533058,NA,0.0167825648686382,-0.000239301552858032,NA,NA,NA,7,-26702.0854773329,53418.1728970533,2154.68381247316,0,1
0.869443575239157,0.037073154852329,NA,NA,NA,NA,NA,-0.00396578625842284,6,-26803.9203599576,53619.8421766805,2356.35309210035,0,1
-6.45861488930613,0.0288716194278543,NA,NA,NA,NA,NA,NA,5,-26894.7296517654,53799.4603440594,2535.97125947928,0,1
-18.5619413545357,NA,NA,0.0156387833756354,0.000671798092673969,0.0406997399973168,-0.000761499044322495,0.00669494538044447,9,-27065.2093765298,54148.421874862,2884.93279028185,0,1
-18.6005921969085,NA,NA,0.0198646771184466,NA,0.0391034900061157,-0.0007134397765374,0.00671915562586455,8,-27067.5929342107,54151.1883658199,2887.69928123977,0,1
-18.3597450406257,NA,NA,0.0158791135354643,0.000620881621017814,0.0175101593769799,NA,0.00668046728461281,8,-27068.0724536367,54152.1474046719,2888.65832009178,0,1
-18.4074931252939,NA,NA,0.0197894109683757,NA,0.0173869119842959,NA,0.00670380091070273,7,-27070.1179689276,54154.2378802426,2890.74879566244,0,1
-18.1622725586276,NA,NA,0.0156941187670201,NA,NA,NA,0.00672487203014003,6,-27380.5895162711,54773.1804893075,3509.69140472734,0,1
-18.1661899328117,NA,NA,0.0160066105175534,-4.92518444429173e-05,NA,NA,0.00672670695167832,7,-27380.576702978,54775.1553483433,3511.66626376323,0,1
-18.7275671774652,NA,NA,NA,NA,0.013780679429615,NA,0.00693185801898167,6,-27381.7501139978,54775.501684761,3512.01260018086,0,1
-18.8297236491188,NA,NA,NA,NA,0.0251931904123741,-0.00037516434007665,0.00694037536613332,7,-27381.059481201,54776.1209047893,3512.63182020922,0,1
-5.40549299146919,NA,NA,0.0137839175685162,0.00109986956450097,0.0330289457792927,-0.000508485970216895,NA,8,-27556.8547760962,55129.7120495908,3866.22296501073,0,1
-5.28943219897339,NA,NA,0.0139472011268617,0.00106563073924938,0.0175459815282136,NA,NA,7,-27558.146109127,55130.2941606414,3866.80507606124,0,1
-5.29294289405088,NA,NA,0.0206560969110453,NA,0.0173322767498885,NA,NA,6,-27564.2478515111,55140.4971597874,3877.00807520729,0,1
-5.3909627853857,NA,NA,0.020700157099399,NA,0.0303901306098604,-0.000429032326510241,NA,7,-27563.3239792489,55140.6499008853,3877.16081630516,0,1
-18.4697655323773,NA,NA,NA,NA,NA,NA,0.00691028466291751,5,-27583.418091465,55176.8372234585,3913.3481388784,0,1
-5.00702421771928,NA,NA,0.0165233509589704,NA,NA,NA,NA,5,-27876.4062991841,55762.8136388968,4499.32455431668,0,1
-5.00441284637473,NA,NA,0.0140134184257247,0.000395702868312168,NA,NA,NA,6,-27875.5685049104,55763.138466586,4499.6493820059,0,1
