"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
5.66500035373957,-0.0187628098094413,0.102145267117136,-0.00151373038829684,NA,NA,NA,NA,7,-2814.44772658087,5642.91820351721,211.106895261157,1.02873198196063e-46,1,FALSE
2.60095837817672,-0.00836140567846836,NA,NA,0.233292058101122,NA,NA,NA,6,-2815.98724630103,5643.99155190345,212.180243647394,6.01488877650353e-47,1,FALSE
5.53009076240731,-0.0174801425604914,0.0523427191960069,NA,NA,NA,NA,NA,6,-2823.92932787164,5659.87571504466,228.064406788608,2.13808713384033e-50,1,FALSE
3.35140557802906,-0.00736942529346757,NA,NA,NA,NA,-0.100293787264313,0.00349153917037123,7,-2831.22511505015,5676.47298045578,244.661672199723,5.3207764025127e-54,1,TRUE
2.82559432030486,-0.00717846846934445,NA,NA,NA,NA,-0.0185412044316139,NA,6,-2837.6605878007,5687.33823490278,255.52692664672,2.32602824111529e-56,1,FALSE
0.416333226301318,NA,-0.0099945667392916,NA,-0.432863083607927,0.180064598727716,NA,NA,7,-2857.7784681149,5729.57968658528,297.768378329227,1.56314871053561e-65,1,TRUE
0.360051566678759,NA,0.00120548908420531,-0.000377802217235184,-0.438802624280479,0.181545152346374,NA,NA,8,-2857.30364389511,5730.63654419007,298.825235934011,9.21523858579739e-66,1,TRUE
0.314076599893496,NA,NA,NA,-0.458374480225348,0.186497257540683,NA,NA,6,-2860.33773647937,5732.69253226013,300.88122400407,3.2965103747987e-66,1,TRUE
-0.161998645630609,NA,-0.0106514663323021,NA,0.222744528217859,NA,NA,NA,6,-2862.16391872624,5736.34489675385,304.533588497796,5.30827695978834e-67,1,FALSE
-0.218167582904046,NA,-0.000353623422840686,-0.000347515368143269,0.222238928491153,NA,NA,NA,7,-2861.76034462303,5737.54343960154,305.732131345485,2.91536745677046e-67,1,FALSE
-0.293251368808293,NA,NA,NA,0.220496216855204,NA,NA,NA,5,-2865.07882934481,5740.16984143075,308.358533174691,7.84110718886008e-68,1,FALSE
2.81338260346233,-0.00778734535438278,NA,NA,NA,NA,NA,NA,5,-2867.29204712181,5744.59627698473,312.784968728676,8.57411142230398e-69,1,FALSE
0.83363832275971,NA,-0.00649575327817074,NA,NA,NA,-0.0927475546945098,0.00308983884678831,7,-2867.7193823397,5749.46151503488,317.650206778821,7.52863259764499e-70,1,TRUE
