"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw"
-7.0729207852763,0.12084724684622,NA,0.00501582797998729,NA,NA,NA,-0.00112541736023432,7,767.34458022028,-1520.64823972445,123.969961457799,6.08989682901448e-28,1
-7.14333482662918,0.120958168787425,NA,0.0102612487070554,-9.17395135116904e-05,-0.00135043325612417,NA,-0.00111556338492687,9,768.423156173529,-1518.78049881872,125.837702363527,2.39350947305068e-28,1
-7.08152321237499,0.120848631514206,NA,0.004899324450363,NA,-0.00120930948188475,NA,-0.00110873470680189,8,767.400332138705,-1518.74803269846,125.870168483784,2.35496914986449e-28,1
-3.14927600222687,0.304726266710353,-0.00445824014388337,NA,NA,NA,NA,-0.0036559149331438,7,759.553300864087,-1505.06568101206,139.552520170187,2.51709903876302e-31,1
-10.0963545371672,0.290150178442148,-0.00435183951468965,NA,NA,NA,NA,NA,6,758.521392700848,-1505.01210607372,139.606095108528,2.45056741119261e-31,1
-6.44427612424106,0.118280111460567,NA,NA,NA,-0.287556176104682,0.00775137282790828,NA,7,736.284230665239,-1458.52754061437,186.090660567882,1.97365626454225e-41,1
-4.59797551309552,0.12048157049293,NA,NA,NA,-0.287526129528318,0.00775094809222647,-0.000963388107412009,8,736.322731071875,-1456.5928305648,188.025370617445,7.5016114887105e-42,1
-8.73357674781128,0.11862603027699,NA,NA,NA,-0.021080822057834,NA,NA,6,729.428354407161,-1446.82602948635,197.792171695902,5.67963806290563e-44,1
-6.93686236819144,0.120767800422731,NA,NA,NA,-0.0210657408433286,NA,-0.000937453737273838,7,729.464836707835,-1444.88875269956,199.72944848269,2.1559880621372e-44,1
-59.8880656252856,NA,NA,0.01642467624085,-0.000199042538693699,-0.320244172440291,0.00925428778661867,0.0282373797042668,9,726.848309286044,-1435.63080504375,208.987396138496,2.10527368239898e-46,1
-60.4418266884541,NA,NA,0.00483804059982045,NA,-0.234182669936538,0.00676533149474755,0.0282246831955715,8,722.794521473348,-1429.53641136775,215.081789814499,9.99833742889226e-48,1
-62.5961137183317,NA,NA,0.00507058303647533,NA,NA,NA,0.0282897907064729,6,717.478134970994,-1422.92559061401,221.692610568237,3.667805541703e-49,1
-62.701284825055,NA,NA,0.0101892087715264,-8.73542510068155e-05,NA,NA,0.0283064844479109,7,718.392843727048,-1422.74476673798,221.873434444265,3.35074128402592e-49,1
-62.6054938137024,NA,NA,0.00496570701382939,NA,-0.00108859234561529,NA,0.0283056651676112,7,717.522663031302,-1421.00440534649,223.613795835757,1.4035446146145e-49,1
-62.7125470334426,NA,NA,0.0101059227630678,-8.79453694140457e-05,-0.00122402042779523,NA,0.0283244485561973,8,718.449136215704,-1420.84564085246,223.772560329787,1.29643560627806e-49,1
-9.080740778919,0.117728670661772,NA,NA,NA,NA,NA,NA,5,702.700535751111,-1395.37916569718,249.239035485065,3.82627458931723e-55,1
-6.60092730479519,0.120664600886109,NA,NA,NA,NA,NA,-0.00129350056681394,6,702.770115459362,-1393.50955159075,251.1086495915,1.50243118270623e-55,1
-59.7412353168787,NA,NA,NA,NA,-0.296755060745617,0.00801520118089258,0.0282959260966843,7,686.340496421844,-1358.64007212758,285.978129054672,4.02701576580008e-63,1
-4.51252762849132,NA,NA,0.0164151694544981,-0.000198442067941947,-0.325100782710346,0.00941282760151752,NA,8,682.208873205771,-1348.36511483259,296.253086349653,2.36485600766619e-65,1
-62.2947003577769,NA,NA,NA,NA,-0.0212106127352752,NA,0.0283943260782919,6,679.11002208394,-1346.1893648399,298.428836342345,7.96794989536986e-66,1
-5.08938027409884,NA,NA,0.00486350650327479,NA,-0.239298846104293,0.00693138576745605,NA,7,678.282459127123,-1342.52399753813,302.094203644115,1.27474171439761e-66,1
-7.15323247232212,NA,NA,0.00504081145541387,NA,NA,NA,NA,5,672.881047324411,-1335.74018884378,308.878012338464,4.28881049225416e-68,1
-7.22387179739352,NA,NA,0.0100294201249189,-8.51355218774242e-05,NA,NA,NA,6,673.727684911435,-1335.42469049489,309.193510687354,3.66291854207684e-68,1
-7.14361917198675,NA,NA,0.0049944200812413,NA,-0.000481462945408679,NA,NA,6,672.889537494341,-1333.74839566071,310.869805521542,1.58425272364321e-68,1
-7.21188305075093,NA,NA,0.00998768067216587,-8.54309082226061e-05,-0.000612819577056063,NA,NA,7,673.741438309816,-1333.44195590352,311.176245278729,1.35919545817459e-68,1
-61.7876145009506,NA,NA,NA,NA,NA,NA,0.0279481130213884,5,652.432624405678,-1294.84334300632,349.774858175929,5.64546370256946e-77,1
-4.24560657398062,NA,NA,NA,NA,-0.302245841315189,0.00818928285820137,NA,6,642.370952062472,-1272.71122479697,371.906976385281,8.82614816877743e-82,1
-6.65760803062711,NA,NA,NA,NA,-0.0207148420863082,NA,NA,5,635.011098253371,-1260.0002907017,384.617910480545,1.53329932743864e-84,1
-7.01723018520691,NA,NA,NA,NA,NA,NA,NA,4,610.182572923295,-1212.35054730644,432.267653875803,6.89630776684759e-95,1
