"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_clim","chg_rad_inc_1SD_clim","variable","month"
"CedarBreaks_PSME",0.167116595496067,FALSE,FALSE,-0.226292411939773,0.501206749280701,0.0196659064621021,0.0209088590932692,"tmn","prev.aug"
"CedarBreaks_PSME",0.296687586890987,FALSE,FALSE,-0.180992657101011,0.626686249256602,0.0332118252739639,0.0441851902723838,"tmn","prev.sep"
"CedarBreaks_PSME",0.0635742542985134,FALSE,FALSE,-0.295855780796192,0.398351072921535,0.00743603515313371,0.00962282082208311,"tmn","prev.oct"
"CedarBreaks_PSME",-0.131320712940531,FALSE,FALSE,-0.45192108743178,0.238575231450565,-0.0126097388601859,-0.0182513528365164,"tmn","prev.nov"
"CedarBreaks_PSME",0.176391639277736,FALSE,FALSE,-0.196180071900072,0.538350912472592,0.0136881037026099,0.0286620259386051,"tmn","prev.dec"
"CedarBreaks_PSME",0.216253173306593,FALSE,FALSE,-0.0599089774400972,0.437659510603122,0.0141205446229254,0.0374199117914433,"tmn","curr.jan"
"CedarBreaks_PSME",0.312295321407456,FALSE,FALSE,-0.102841402415837,0.668023121561627,0.0206502539767692,0.0499002516961503,"tmn","curr.feb"
"CedarBreaks_PSME",0.447285289684719,TRUE,FALSE,0.176068820166417,0.67894350759031,0.0410488462341238,0.0667070075593591,"tmn","curr.mar"
"CedarBreaks_PSME",-0.417235123629604,TRUE,FALSE,-0.636084427529987,-0.128658027415454,-0.0516309500984135,-0.0688052526036044,"tmn","curr.apr"
"CedarBreaks_PSME",-0.0302094887141516,FALSE,FALSE,-0.31532864923243,0.282476154342244,-0.00409535508342083,-0.00528395451037348,"tmn","curr.may"
"CedarBreaks_PSME",0.151637731003449,FALSE,FALSE,-0.200907234266529,0.471312687887859,0.020415527634215,0.025270860117591,"tmn","curr.jun"
"CedarBreaks_PSME",-0.0296677674312971,FALSE,FALSE,-0.414108055246431,0.332547098060966,-0.00555674123217293,-0.00559042167438478,"tmn","curr.jul"
"CedarBreaks_PSME",0.0409964756676995,FALSE,FALSE,-0.284831253341836,0.366579313195302,0.0049231413878425,0.005215393687834,"tmn","curr.aug"
"CedarBreaks_PSME",0.252739050435904,FALSE,FALSE,-0.0850059884976161,0.521280626578759,0.0166169494010367,0.0352150522167072,"tmx","prev.apr"
"CedarBreaks_PSME",0.0456263206069425,FALSE,FALSE,-0.372984546689111,0.447976997656691,0.00341302775041809,0.00652022488594177,"tmx","prev.may"
"CedarBreaks_PSME",0.185965398491929,FALSE,FALSE,-0.266214301409369,0.592317545404586,0.0170094013419784,0.0283586790435568,"tmx","prev.jun"
"CedarBreaks_PSME",0.0831937558242384,FALSE,FALSE,-0.302539667657939,0.469532586688463,0.0138492605770179,0.0157867820185705,"tmx","prev.jul"
"CedarBreaks_PSME",0.15486982478037,FALSE,FALSE,-0.218057887429748,0.500680081941288,0.0208757942327326,0.0244021737296856,"tmx","prev.aug"
"CedarBreaks_PSME",0.299020494217283,FALSE,FALSE,-0.165109070940097,0.647756705098675,0.0287746650429977,0.0432411985490637,"tmx","prev.sep"
"CedarBreaks_PSME",-0.185387172972324,FALSE,FALSE,-0.459234102974305,0.188959164825136,-0.0119416229769302,-0.0248254749634349,"tmx","prev.oct"
"CedarBreaks_PSME",0.000158575134919475,FALSE,FALSE,-0.282490768539062,0.309444538191267,1.02432263702277e-05,2.20721056719838e-05,"tmx","prev.nov"
"CedarBreaks_PSME",-0.000313253985839675,FALSE,FALSE,-0.35164211107217,0.348488179524295,-1.88764537551835e-05,-4.474006819774e-05,"tmx","prev.dec"
"CedarBreaks_PSME",0.05862148261974,FALSE,FALSE,-0.228474810912664,0.347710037331528,0.00371704272556084,0.00908883617251625,"tmx","curr.jan"
"CedarBreaks_PSME",0.146402307788747,FALSE,FALSE,-0.288949664889722,0.516560182562693,0.0090192492315594,0.0216780771575716,"tmx","curr.feb"
"CedarBreaks_PSME",0.167824525597738,FALSE,FALSE,-0.23255572598259,0.559089036881245,0.0101008943885372,0.0233299290466759,"tmx","curr.mar"
"CedarBreaks_PSME",-0.520985148384628,TRUE,TRUE,-0.729522124787556,-0.267211262196196,-0.0351362828721629,-0.0744751693134337,"tmx","curr.apr"
"CedarBreaks_PSME",0.037411833059324,FALSE,FALSE,-0.32723675700412,0.415020477890808,0.00281407749307475,0.00540648207785441,"tmx","curr.may"
"CedarBreaks_PSME",0.0210554204041819,FALSE,FALSE,-0.264377067274077,0.349633366324802,0.00195540965463316,0.00328425281264672,"tmx","curr.jun"
"CedarBreaks_PSME",-0.0854158715001945,FALSE,FALSE,-0.436311686409316,0.255968877019072,-0.0141118748968513,-0.0158350569494305,"tmx","curr.jul"
"CedarBreaks_PSME",-0.0575867766336387,FALSE,FALSE,-0.436782702302745,0.339732298975775,-0.00763846139975416,-0.00892111661626381,"tmx","curr.aug"
"CedarBreaks_PSME",0.261335152085985,FALSE,FALSE,-0.101152387550248,0.564971270014087,0.0941189145342024,0.034970883361187,"pet","prev.apr"
"CedarBreaks_PSME",0.0448504979970052,FALSE,FALSE,-0.355491547183723,0.399645406811336,0.0161737695827904,0.00622048506758775,"pet","prev.may"
"CedarBreaks_PSME",0.115514573823892,FALSE,FALSE,-0.322404855563818,0.501050827740734,0.0463862588603694,0.0166417120889043,"pet","prev.jun"
"CedarBreaks_PSME",-0.00720938659178594,FALSE,FALSE,-0.47538620905979,0.417813738878401,-0.00456527230018185,-0.00123279736087932,"pet","prev.jul"
"CedarBreaks_PSME",0.0544213652002456,FALSE,FALSE,-0.310947095117311,0.374541656728978,0.0294138240436522,0.0084924503637635,"pet","prev.aug"
"CedarBreaks_PSME",0.217048470328475,FALSE,FALSE,-0.253291133144798,0.607789555740899,0.100339815897353,0.0311717738115464,"pet","prev.sep"
"CedarBreaks_PSME",-0.1816424578054,FALSE,FALSE,-0.495478052513001,0.182504315087672,-0.0715530281530838,-0.0232364138810289,"pet","prev.oct"
"CedarBreaks_PSME",0.0491949948043548,FALSE,FALSE,-0.288273079092505,0.360912566424033,0.0292107242238164,0.00709399046809973,"pet","prev.nov"
"CedarBreaks_PSME",-0.0333076907561015,FALSE,FALSE,-0.402897130686565,0.33896133017037,-0.020905782603294,-0.00484998503438284,"pet","prev.dec"
"CedarBreaks_PSME",0.00364552955122583,FALSE,FALSE,-0.292591985353101,0.263923514111823,0.002247066785137,0.000538653312797014,"pet","curr.jan"
"CedarBreaks_PSME",0.116835461922514,FALSE,FALSE,-0.286988807600741,0.455879794947933,0.0651816794345766,0.0180010756574488,"pet","curr.feb"
"CedarBreaks_PSME",0.131919463959766,FALSE,FALSE,-0.309047602354159,0.526140420742302,0.0549817458345153,0.0177320103377261,"pet","curr.mar"
